parameter_id,IMPC_EYE_003_001
mouse_strain,C57BL
gene_symbol,Eif2s2
parameter_name,Eye Hemorrhage or Blood Presence
gene_accession_id,MGI:1914454
pvalue,0.3837551
analysis_id,0c27n8k042bx9sm
mouse_life_stage,E9.5
