gene_accession_id,MGI:3606212
gene_symbol,Rbbp8nl
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_GEO_064_001
pvalue,0.3425343
parameter_name,Edema
analysis_id,12004p0820u6vxa
