parameter_id,IMPC_CSD_013_001
parameter_name,Coat - hair distribution - abdomen
pvalue,0.09105765
gene_accession_id,MGI:1917770
mouse_life_stage,Early adult
gene_symbol,Glipr2
analysis_id,09n07yg45fh212x
mouse_strain,C57BL
