parameter_id,IMPC_GEL_058_001
gene_symbol,Cldn11
analysis_id,17s6bb7imp3ydjm
mouse_life_stage,Middle aged adult
parameter_name,Heart morphology
gene_accession_id,MGI:106925
mouse_strain,C57BL
pvalue,0.6450764
