mouse_strain,C57BL
parameter_id,ESLIM_011_001_003
gene_symbol,Eloa
gene_accession_id,MGI:1351315
analysis_id,121qke3h3v8040x
mouse_life_stage,Early adult
parameter_name,PP2 startle magnitude
pvalue,0.4783291
