mouse_life_stage,Middle aged adult
gene_symbol,Eppin
mouse_strain,C57BL
pvalue,0.6056912
gene_accession_id,MGI:1922776
parameter_id,IMPC_CBC_016_001
analysis_id,00601o4547t4h3x
parameter_name,HDL-cholesterol
