gene_symbol,Prrc2b
analysis_id,0tfeqq9svnp9ykm
gene_accession_id,MGI:1923304
mouse_life_stage,Early adult
pvalue,0.1063782
mouse_strain,C57BL
parameter_id,IMPC_HEM_019_001
parameter_name,Mean platelet volume
