pvalue,0.5112005
parameter_id,IMPC_EYE_017_001
mouse_life_stage,Early adult
gene_symbol,Cstdc2
mouse_strain,C57BL
parameter_name,Lens Opacity
gene_accession_id,MGI:1924955
analysis_id,00wn0ae6km4l59a
