gene_accession_id,MGI:107341
gene_symbol,Ctss
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_XRY_021_001
pvalue,0.6603586
parameter_name,Humerus
analysis_id,2i1robetqdp11ha
