gene_symbol,Tpx2
gene_accession_id,MGI:1919369
mouse_strain,C57BL
parameter_name,Tibia length
parameter_id,IMPC_XRY_033_001
mouse_life_stage,Early adult
analysis_id,0k4p107f128hi4m
pvalue,0.4360342
