mouse_strain,C57BL
parameter_id,MGP_IMM_010_001
mouse_life_stage,E15.5
parameter_name,Effector Treg cells - % of Treg
analysis_id,114uah8n34r9wzm
pvalue,0.2696894
gene_accession_id,MGI:97803
gene_symbol,Ptma
