gene_accession_id,MGI:1916987
gene_symbol,Ttl
mouse_strain,C57BL
mouse_life_stage,E12.5
parameter_id,MGP_PBI_015_001
pvalue,0.2463879
parameter_name,IgD+ mature B cell percentage
analysis_id,0480r5g6edjyx3x
