pvalue,0.9194759
parameter_name,Coat intact
mouse_life_stage,E15.5
analysis_id,19md5781h6w8ktx
mouse_strain,C57BL
gene_accession_id,MGI:2444631
parameter_id,M-G-P_026_001_003
gene_symbol,Bltp1
