pvalue,0.3070182
parameter_id,IMPC_HEM_027_001
gene_symbol,Sptan1
mouse_strain,C57BL
parameter_name,Red blood cell distribution width
mouse_life_stage,E9.5
gene_accession_id,MGI:98386
analysis_id,0600hmp730pq49x
