parameter_id,IMPC_EYE_083_001
mouse_life_stage,Early adult
gene_symbol,Gnas
analysis_id,19lg9roq249v08m
pvalue,0.6321528
gene_accession_id,MGI:95777
parameter_name,Vitreous
mouse_strain,129SV
