analysis_id,0pi342g5rb3952a
gene_accession_id,MGI:102844
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Mybpc3
parameter_id,ESLIM_020_001_002
pvalue,2.129977e-10
parameter_name,Heart weight
