gene_symbol,Wnt6
parameter_name,Respiratory Exchange Ratio
gene_accession_id,MGI:98960
analysis_id,1142o7zq51er60a
pvalue,0.3806586
parameter_id,IMPC_CAL_017_001
mouse_strain,C57BL
mouse_life_stage,Early adult
