gene_accession_id,MGI:1921722
gene_symbol,Stpg3
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_DXA_003_001
pvalue,0.126475
parameter_name,Lean mass
analysis_id,16lg06pc439l8am
