mouse_strain,C57BL
parameter_id,IMPC_DXA_004_001
gene_symbol,Gmppa
gene_accession_id,MGI:1916330
analysis_id,107pewvbbhbp6ca
pvalue,0.2279314
parameter_name,Bone Mineral Density (excluding skull)
mouse_life_stage,Early adult
