mouse_strain,C57BL
parameter_name,Facial Cleft
analysis_id,15m7l53x475g95m
parameter_id,IMPC_GEO_017_002
gene_accession_id,MGI:1922423
mouse_life_stage,Early adult
pvalue,0.3699605
gene_symbol,Tex38
