gene_symbol,Unc5c
parameter_name,Hemorrhage
mouse_strain,C57BL
analysis_id,2hloaoy41s0l48a
pvalue,0.261661
gene_accession_id,MGI:1095412
mouse_life_stage,Late adult
parameter_id,IMPC_GEP_011_002
