analysis_id,15l9rqe1um6399a
parameter_id,MGP_CSD_027_001
gene_accession_id,MGI:2151053
parameter_name,Ventral coat/hair colour pattern
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Serpinb7
pvalue,0.2768573
