gene_symbol,Sec61a2
parameter_id,IMPC_ECG_003_001
parameter_name,CV
pvalue,0.08551174
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,268jad1s079tg2a
gene_accession_id,MGI:1931071
