mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Average duration
pvalue,0.7856844
gene_accession_id,MGI:1913746
analysis_id,0xkgtv68m607n0m
parameter_id,JAX_ROT_002_001
gene_symbol,Ppdpf
