parameter_id,IMPC_CSD_013_001
mouse_strain,C57BL
gene_accession_id,MGI:1920199
gene_symbol,Ccnt2
pvalue,0.977817
analysis_id,001rv0ok4b8uy6x
mouse_life_stage,E12.5
parameter_name,Coat - hair distribution - abdomen
