analysis_id,22jngst4980daia
parameter_id,MGP_IMM_007_001
gene_symbol,Usp21
mouse_strain,C57BL
parameter_name,Resting CD4+ T helper cells - % of CD4+ T helper cells
mouse_life_stage,Early adult
gene_accession_id,MGI:1353665
pvalue,0.6047669
