pvalue,0.2169853
gene_accession_id,MGI:1860511
analysis_id,0b18318xh52p67m
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,JAX_LDT_004_001
parameter_name,Dark side time spent
gene_symbol,Heyl
