gene_symbol,Sptan1
parameter_id,IMPC_CSD_025_001
analysis_id,2hho56u2a9pnbla
mouse_life_stage,E15.5
parameter_name,Head size
pvalue,0.7034609
mouse_strain,C57BL
gene_accession_id,MGI:98386
