pvalue,0.9419525
gene_accession_id,MGI:2443564
mouse_life_stage,E18.5
parameter_id,JAX_OFD_050_001
analysis_id,0x5503j0r42v13x
mouse_strain,C57BL
gene_symbol,Ambra1
parameter_name,Percentage center movement time
