gene_accession_id,MGI:1927753
gene_symbol,Inpp5e
mouse_strain,C57BL
parameter_name,Whole arena average speed
mouse_life_stage,Early adult
analysis_id,14gxns7djs255mm
parameter_id,JAX_OFD_009_001
pvalue,0.172445
