pvalue,0.9158946
gene_symbol,Tmem79
parameter_id,MGP_IMM_016_001
analysis_id,23279935e5k7n2a
gene_accession_id,MGI:1919163
parameter_name,Naive CD8+ T cells - % of CD8+
mouse_life_stage,Early adult
mouse_strain,C57BL
