mouse_strain,C57BL
pvalue,0.1879073
parameter_id,IMPC_CBC_005_001
mouse_life_stage,Early adult
gene_symbol,Rpusd2
gene_accession_id,MGI:1918066
analysis_id,16w624l5ta6783x
parameter_name,Creatinine
