parameter_id,IMPC_EYE_065_001
mouse_strain,C57BL
pvalue,0.5102281
parameter_name,Right posterior chamber depth
analysis_id,12qx9d97mrm4p2m
mouse_life_stage,Early adult
gene_symbol,Src
gene_accession_id,MGI:98397
