mouse_strain,C57BL
parameter_id,IMPC_HEM_008_001
parameter_name,Platelet count
gene_symbol,Casq2
analysis_id,0y8pa719ti566vx
mouse_life_stage,E15.5
pvalue,0.3691458
gene_accession_id,MGI:1309469
