gene_accession_id,MGI:2444631
gene_symbol,Bltp1
mouse_strain,C57BL
mouse_life_stage,E12.5
parameter_id,CCP_XRY_031_001
pvalue,0.149796
parameter_name,Digit integrity
analysis_id,032750z8233w14x
