parameter_name,Left retina pigmentation
gene_symbol,Usp21
pvalue,0.8112209
analysis_id,156j4z97t18747m
parameter_id,ESLIM_013_001_004
gene_accession_id,MGI:1353665
mouse_strain,C57BL
mouse_life_stage,Early adult
