pvalue,0.911078
mouse_life_stage,Early adult
parameter_name,Tibia length
parameter_id,IMPC_HWT_002_001
gene_symbol,Slc30a2
analysis_id,0q9r7406u79co9a
mouse_strain,C57BL
gene_accession_id,MGI:106637
