mouse_strain,C57BL
pvalue,0.6550375
mouse_life_stage,E12.5
parameter_id,IMPC_OFD_013_001
gene_symbol,Pgm1
parameter_name,Periphery average speed
analysis_id,027h5gy4d20558x
gene_accession_id,MGI:97565
