analysis_id,0c6ey4ib4bkucbm
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.3789638
gene_accession_id,MGI:3649135
parameter_name,Total Treg cells - % of CD45+
gene_symbol,Gm7694
parameter_id,MGP_IMM_076_001
