pvalue,0.9680995
mouse_strain,C57BL
parameter_name,Vibrissae
analysis_id,1euvm973651enam
mouse_life_stage,Early adult
gene_symbol,Zbtb43
parameter_id,MGP_CSD_068_001
gene_accession_id,MGI:1919084
