parameter_id,JAX_PLC_004_001
mouse_life_stage,Early adult
gene_symbol,Gm5148
parameter_name,Glucose
mouse_strain,C57BL
pvalue,0.8150471
gene_accession_id,MGI:3646006
analysis_id,15ih5n3545w1l6x
