mouse_strain,C57BL
gene_accession_id,MGI:106925
parameter_id,IMPC_GEM_075_001
parameter_name,Delayed embryonic development
gene_symbol,Cldn11
pvalue,0.7536286
mouse_life_stage,Early adult
analysis_id,0c06c3l3582t7la
