gene_symbol,Bcan
mouse_strain,C57BL
pvalue,0.7977132
mouse_life_stage,Middle aged adult
analysis_id,01ie1b51678c33m
gene_accession_id,MGI:1096385
parameter_id,IMPC_XRY_027_001
parameter_name,Joints
