pvalue,0.9434201
parameter_id,ESLIM_015_001_002
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1913746
analysis_id,18kado1270v2uym
parameter_name,Urea
gene_symbol,Ppdpf
