mouse_life_stage,Early adult
parameter_name,Heart weight
pvalue,0.9222536
parameter_id,ESLIM_020_001_002
gene_symbol,Efhd1
gene_accession_id,MGI:1921607
mouse_strain,C57BL
analysis_id,0xoa95xh49wc68a
