mouse_life_stage,E9.5
parameter_id,MGP_IMM_044_001
analysis_id,0fi777h463gh37m
gene_symbol,Mrpl44
gene_accession_id,MGI:1916413
pvalue,0.5288001
mouse_strain,C57BL
parameter_name,Marginal zone B cells - % of B2 cells
