gene_symbol,Cdc20
parameter_id,IMPC_CSD_033_001
analysis_id,2fs674589w6tnva
gene_accession_id,MGI:1859866
parameter_name,Gait
pvalue,0.5515366
mouse_life_stage,E9.5
mouse_strain,C57BL
