gene_accession_id,MGI:88015
gene_symbol,Ampd1
mouse_strain,C57BL
mouse_life_stage,E15.5
parameter_id,IMPC_EYE_017_001
pvalue,0.1266463
parameter_name,Lens Opacity
analysis_id,0654dea30c8640m
