mouse_life_stage,Early adult
pvalue,0.3789146
parameter_name,Neural tube closure
parameter_id,IMPC_GEL_027_001
gene_symbol,Nes
analysis_id,1610205l8fdo3xx
gene_accession_id,MGI:101784
mouse_strain,C57BL
