analysis_id,0701i3urz72h2cm
pvalue,0.2634812
parameter_name,Time mobile light side
mouse_strain,C57BL
mouse_life_stage,E9.5
gene_symbol,Coq3
gene_accession_id,MGI:101813
parameter_id,CCP_LDT_003_001
