pvalue,0.2104304
parameter_name,Glucose
gene_symbol,Zbtb34
analysis_id,171471550kxi64a
parameter_id,IMPC_CBC_018_001
gene_accession_id,MGI:2685195
mouse_strain,C57BL
mouse_life_stage,E9.5
