parameter_name,HDL-cholesterol
gene_symbol,Crb2
mouse_strain,C57BL
parameter_id,IMPC_CBC_016_001
gene_accession_id,MGI:2679260
pvalue,0.2906589
mouse_life_stage,Early adult
analysis_id,0obdt8792s878am
