pvalue,0.1297852
gene_accession_id,MGI:1915862
mouse_strain,C57BL
analysis_id,239xn406vjbv3ka
parameter_name,Total gd T cells - % of CD45+
parameter_id,MGP_MLN_078_001
gene_symbol,Ube2c
mouse_life_stage,Early adult
