pvalue,0.1556801
parameter_id,MGP_MLN_075_001
parameter_name,Resting CD8+ T cells - % of CD45+
mouse_strain,C57BL
gene_symbol,Slc30a2
gene_accession_id,MGI:106637
mouse_life_stage,Early adult
analysis_id,0ck2z4872m9t7fx
