analysis_id,1423fo2m3byf2mm
pvalue,0.7854664
parameter_id,MGP_IMM_007_001
parameter_name,Resting CD4+ T helper cells - % of CD4+ T helper cells
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Eif2s2
gene_accession_id,MGI:1914454
