mouse_life_stage,Early adult
analysis_id,0ew0z906rb42nem
gene_accession_id,MGI:98960
gene_symbol,Wnt6
pvalue,0.6060393
parameter_id,MGP_IMM_130_001
mouse_strain,C57BL
parameter_name,CD11b-low cDC - % of CD45+
