mouse_life_stage,Early adult
gene_accession_id,MGI:2677271
mouse_strain,C57BL
parameter_name,Embryo Size
parameter_id,IMPC_GEO_019_001
pvalue,0.800492
gene_symbol,Slc24a5
analysis_id,06w4k91o3mog7tm
