gene_symbol,Polr3gl
gene_accession_id,MGI:1917120
mouse_strain,C57BL
parameter_name,Locomotor activity
mouse_life_stage,Early adult
analysis_id,1886522d607ps0x
pvalue,0.3585894
parameter_id,IMPC_CSD_032_001
