parameter_id,IMPC_CSD_014_001
analysis_id,151a3u9zcn1801m
pvalue,0.9590291
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Map7d1
parameter_name,Coat - hair texture / appearance - back
gene_accession_id,MGI:2384297
