gene_symbol,Usp20
parameter_name,Alanine aminotransferase
pvalue,0.3223831
mouse_strain,C57BL
gene_accession_id,MGI:1921520
mouse_life_stage,Early adult
analysis_id,038y695v157946x
parameter_id,IMPC_CBC_013_001
