parameter_name,Hematocrit
analysis_id,16v5uzlaxw67a5a
pvalue,0.1705775
mouse_life_stage,Early adult
gene_symbol,Frrs1l
parameter_id,IMPC_HEM_004_001
mouse_strain,C57BL
gene_accession_id,MGI:2442704
