parameter_id,MGP_IMM_093_001
mouse_strain,C57BL
gene_accession_id,MGI:1927753
parameter_name,Resting CD4- NKT cells - % of CD45+
pvalue,0.9947938
gene_symbol,Inpp5e
analysis_id,031b7yx76ji945m
mouse_life_stage,E12.5
