parameter_id,IMPC_CBC_004_001
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Urea (Blood Urea Nitrogen - BUN)
pvalue,0.5902072
gene_symbol,Hspa12b
gene_accession_id,MGI:1919880
analysis_id,1zi85919l5ywboa
