mouse_strain,C57BL
parameter_name,Lean mass
analysis_id,1o80s21xs2m0y9m
gene_accession_id,MGI:98960
pvalue,0.5360749
mouse_life_stage,E15.5
parameter_id,IMPC_DXA_003_001
gene_symbol,Wnt6
